timestamp,filename,angle_deg,raw_angle,magnitude
20251020_225328,scan_angle_0000.00_deg_20251020_225328.jpg,0.000000,2559,2019
20251020_225330,scan_angle_0345.23_deg_20251020_225330.jpg,345.234375,2391,2022
20251020_225332,scan_angle_0328.27_deg_20251020_225332.jpg,328.271484,2198,2017
20251020_225333,scan_angle_0306.12_deg_20251020_225333.jpg,306.123047,1946,2029
20251020_225334,scan_angle_0282.30_deg_20251020_225334.jpg,282.304688,1675,2050
20251020_225335,scan_angle_0261.83_deg_20251020_225335.jpg,261.826172,1442,2059
20251020_225337,scan_angle_0234.84_deg_20251020_225337.jpg,234.843750,1135,2054
20251020_225338,scan_angle_0212.17_deg_20251020_225338.jpg,212.167969,877,2042
20251020_225340,scan_angle_0190.72_deg_20251020_225340.jpg,190.722656,633,2029
20251020_225341,scan_angle_0170.07_deg_20251020_225341.jpg,170.068359,398,2019
20251020_225343,scan_angle_0149.24_deg_20251020_225343.jpg,149.238281,161,2012
